n,Uniform Nodes,Chebyshev Nodes
1,1.0,1.4142135623730954
2,1.2499997494992492,1.6666666666666663
3,1.6311278407699152,1.8477590650225735
4,2.2078240105629434,1.9888543819998328
5,3.1062623433099605,2.104397682646487
6,4.549336075769684,2.202214555205529
7,6.929376866629719,2.2870160684585645
8,10.94512698806834,2.3618567877670773
9,17.847805544250477,2.428829482376086
10,29.897758816015603,2.4894303768819768
11,51.21421539121892,2.5447661186467636
12,89.32418471959242,2.595678180793408
13,158.0842698002691,2.6428212934990567
14,283.1762277522752,2.6867148815654676
15,512.3496345042895,2.7277779364183505
16,934.248871729305,2.766353335890403
17,1715.8036479124628,2.802725224183347
18,3170.423877691028,2.837131699740448
19,5886.739348570066,2.8697742530264954
20,10978.795044663122,2.9008249044468988
